epoch,accuracy,loss,lr,precision,recall,top3_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top3_accuracy
0,0.747301459312439,0.8031483292579651,1e-05,0.840628981590271,0.6742415428161621,0.9077377319335938,0.9043983817100525,0.30368828773498535,0.9401408433914185,0.8735005259513855,0.9807342886924744
1,0.786842405796051,0.7043461203575134,1e-05,0.8705115914344788,0.7134416699409485,0.925690233707428,0.9116684794425964,0.2882433533668518,0.9468334913253784,0.8804070949554443,0.9832788109779358
2,0.7984319925308228,0.6518892049789429,1e-05,0.8769754767417908,0.7313941717147827,0.9375070929527283,0.9189385771751404,0.26331114768981934,0.9513429403305054,0.8884041905403137,0.9832788109779358
3,0.8111578226089478,0.5838706493377686,1e-05,0.8843528032302856,0.750710129737854,0.9426201581954956,0.9269356727600098,0.24614262580871582,0.9538938403129578,0.8949472904205322,0.9850963354110718
4,0.8212702870368958,0.5735896825790405,1e-05,0.8906084895133972,0.7650266885757446,0.9437564015388489,0.9323882460594177,0.2319713830947876,0.9583333134651184,0.9029443860054016,0.9865503311157227
5,0.8332007527351379,0.5338400602340698,1e-05,0.8990151286125183,0.7778661251068115,0.9500057101249695,0.9320247173309326,0.22326093912124634,0.9591679573059082,0.9051253795623779,0.9861868619918823
6,0.8347914814949036,0.5119052529335022,1e-05,0.8958116769790649,0.7825247049331665,0.9538688659667969,0.9352962374687195,0.21305318176746368,0.9594336152076721,0.9113049507141113,0.9876408576965332
7,0.8429723978042603,0.4917733371257782,1e-05,0.9018205404281616,0.7879786491394043,0.957732081413269,0.9407488107681274,0.20333616435527802,0.9623430967330933,0.9196655750274658,0.9876408576965332
8,0.8429723978042603,0.48303648829460144,1e-05,0.9025999307632446,0.7928644418716431,0.9563685655593872,0.943656861782074,0.1950228363275528,0.9623144268989563,0.9189385771751404,0.9883678555488586
9,0.8508124351501465,0.46151602268218994,1e-05,0.9067709445953369,0.8034314513206482,0.959777295589447,0.9447473883628845,0.18630284070968628,0.9643399119377136,0.9240276217460632,0.9894583821296692
10,0.8524031639099121,0.45144081115722656,1e-05,0.9094067811965942,0.8029769062995911,0.9627314805984497,0.9480189085006714,0.18015627562999725,0.9677419066429138,0.9269356727600098,0.9898219108581543
11,0.859220564365387,0.4371243119239807,1e-05,0.9127439856529236,0.8129758238792419,0.9631860256195068,0.9505634307861328,0.17295655608177185,0.9671450257301331,0.9309341907501221,0.9894583821296692
12,0.863197386264801,0.4255685806274414,1e-05,0.9147178530693054,0.8177480101585388,0.9669355750083923,0.9520174264907837,0.16782014071941376,0.9689981341362,0.9316611886024475,0.9905489087104797
13,0.8696739077568054,0.4124147593975067,1e-05,0.9173198342323303,0.824451744556427,0.9654584527015686,0.9527444839477539,0.1626238375902176,0.9691729545593262,0.9371137619018555,0.9905489087104797
14,0.8701283931732178,0.4056061804294586,1e-05,0.9198628664016724,0.822974681854248,0.9695489406585693,0.9534714818000793,0.15625271201133728,0.9702672362327576,0.9371137619018555,0.9905489087104797
