epoch,accuracy,loss,lr,precision,recall,top3_accuracy,val_accuracy,val_loss,val_precision,val_recall,val_top3_accuracy
0,0.06272014230489731,3.603294849395752,0.001,0.09059233218431473,0.002954209689050913,0.1593000739812851,0.04652853682637215,3.5164880752563477,0.3308270573616028,0.015994183719158173,0.15812431275844574
1,0.1001022607088089,3.2515697479248047,0.001,0.29532164335250854,0.011475968174636364,0.24440404772758484,0.10905125737190247,3.404503583908081,0.17073170840740204,0.038167938590049744,0.25190839171409607
2,0.12782637774944305,3.1054322719573975,0.001,0.4623376727104187,0.020224973559379578,0.2887171804904938,0.1264994591474533,3.102520227432251,0.3509933650493622,0.03853144496679306,0.34714648127555847
3,0.13975684344768524,3.0460312366485596,0.001,0.4299754202365875,0.019884103909134865,0.3178047835826874,0.18102508783340454,2.897151231765747,0.5675675868988037,0.038167938590049744,0.3893129825592041
4,0.16134530305862427,2.933704137802124,0.001,0.5043859481811523,0.026133393868803978,0.3547324240207672,0.1490367203950882,2.9403064250946045,0.4652014672756195,0.04616503044962883,0.348237007856369
5,0.16225428879261017,2.8639590740203857,0.001,0.5395537614822388,0.030223838984966278,0.3796159625053406,0.1802980750799179,2.7906339168548584,0.6754966974258423,0.03707742691040039,0.39658305048942566
6,0.18497897684574127,2.7838141918182373,0.001,0.5504950284957886,0.03158732131123543,0.40177252888679504,0.20465286076068878,2.691070318222046,0.6666666865348816,0.04362050071358681,0.43329697847366333
7,0.21679355204105377,2.6665122509002686,0.001,0.6047197580337524,0.04658561572432518,0.4401772618293762,0.20210832357406616,2.695322036743164,0.6827309131622314,0.061795711517333984,0.43802252411842346
8,0.2365640252828598,2.590364933013916,0.001,0.6217733025550842,0.06294739246368408,0.46460628509521484,0.1861141473054886,2.851840019226074,0.6071428656578064,0.055616140365600586,0.35914212465286255
9,0.2657652497291565,2.4942102432250977,0.001,0.6585366129875183,0.07976366579532623,0.5047153830528259,0.26208651065826416,2.4727907180786133,0.8481675386428833,0.058887675404548645,0.5132678747177124
