iter	Logloss
0	0.640336867
1	0.6000721418
2	0.557202876
3	0.5255902969
4	0.4948549157
5	0.4681161335
6	0.4478201313
7	0.4301176534
8	0.4115864988
9	0.3936256269
10	0.3767108835
11	0.3645206257
12	0.346726601
13	0.3309563938
14	0.3206724134
15	0.3073775772
16	0.3003659112
17	0.2912473494
18	0.2773585138
19	0.2697478508
20	0.2614606137
21	0.2529657873
22	0.242762341
23	0.2370062966
24	0.231806554
25	0.2274771935
26	0.2198697578
27	0.2128450494
28	0.2076420001
29	0.2046834432
30	0.2016007108
31	0.1991447799
32	0.1952444926
33	0.1929574378
34	0.1844650744
35	0.1819099865
36	0.17807629
37	0.1763669732
38	0.1721396812
39	0.1704296036
40	0.1669582878
41	0.1629783464
42	0.1611533098
43	0.1593634567
44	0.1570331975
45	0.1557576946
46	0.1540413961
47	0.1528203736
48	0.1508183111
49	0.1489485929
50	0.1481228831
51	0.1462735437
52	0.1438300597
53	0.143138978
54	0.1414897214
55	0.1407106562
56	0.1397805179
57	0.13918669
58	0.1381012076
59	0.136818266
60	0.1361675871
61	0.134675007
62	0.1340371466
63	0.133341986
64	0.1327038857
65	0.1320557707
66	0.1304556142
67	0.1286072381
68	0.1281467445
69	0.127760101
70	0.1270547613
71	0.1255218095
72	0.1251420726
73	0.1237659269
74	0.1231453821
75	0.1227153131
76	0.1223963371
77	0.1220649731
78	0.1217077263
79	0.121230975
80	0.1204360068
81	0.1196489017
82	0.1182600038
83	0.1179040392
84	0.117310116
85	0.1169791394
86	0.1166328427
87	0.1162625118
88	0.1159442276
89	0.1156023493
90	0.1152995279
91	0.1150195341
92	0.1142283211
93	0.1139787086
94	0.1127330153
95	0.1121521174
96	0.11179449
97	0.1115211877
98	0.1111840235
99	0.1109449454
100	0.1106590646
101	0.1103732996
102	0.1101361409
103	0.1099277394
104	0.1097605457
105	0.1096235302
106	0.1089463155
107	0.1077159712
108	0.1071171285
109	0.1069195626
110	0.106345848
111	0.1061955436
112	0.1057156448
113	0.1055361259
114	0.105361619
115	0.1046769703
116	0.1044523715
117	0.1035454801
118	0.1033920752
119	0.102906719
120	0.1026879633
121	0.1020484618
122	0.1019123241
123	0.1017899165
124	0.1013858709
125	0.1012195842
126	0.1009702916
127	0.1007893428
128	0.1006434897
129	0.10042882
130	0.1003004758
131	0.09982112984
132	0.0997117444
133	0.09955838898
134	0.09942590097
135	0.09929354268
136	0.09909770398
137	0.09896681975
138	0.09881408612
139	0.09867003748
140	0.09811119079
141	0.09726844226
142	0.09717877952
143	0.09703691988
144	0.09696721999
145	0.09681991308
146	0.09668868911
147	0.09617121626
148	0.0960437799
149	0.09557670589
150	0.09550106316
151	0.09539010957
152	0.09492117923
153	0.09479930304
154	0.09472059267
155	0.09458886021
156	0.09449282481
157	0.09436953161
158	0.09424209062
159	0.09415362899
160	0.09396965022
161	0.0936184719
162	0.09352986129
163	0.09346317843
164	0.09337688797
165	0.09327721029
166	0.09315641996
167	0.09308368855
168	0.09286788823
169	0.09279209559
170	0.09265201049
171	0.09254476738
172	0.09243379414
173	0.09225062275
174	0.09212863055
175	0.09169286118
176	0.09146831769
177	0.09126849589
178	0.09119017813
179	0.09111015608
180	0.09088113411
181	0.09057793844
182	0.09047274581
183	0.09036289838
184	0.09024351321
185	0.09015080655
186	0.09007667037
187	0.09001339124
188	0.0898762697
189	0.08979070438
190	0.08969264665
191	0.08962460688
192	0.08955857095
193	0.08950275196
194	0.0894313968
195	0.08930659708
196	0.08921116017
197	0.08896686349
198	0.08885285039
199	0.08873898323
200	0.08865880458
201	0.08859157671
202	0.08851752941
203	0.08847013536
204	0.0883605058
205	0.08827569871
206	0.08818837962
207	0.08813579619
208	0.08785023627
209	0.08778682103
210	0.08771131063
211	0.08765660114
212	0.08758570764
213	0.08751811497
214	0.08722065358
215	0.08715747924
216	0.0869077429
217	0.08687910603
218	0.08678287525
219	0.08671214835
220	0.08664095336
221	0.08655820308
222	0.08651002905
223	0.08647637723
224	0.08642457421
225	0.08636472384
226	0.08631591262
227	0.08624016377
228	0.08620988746
229	0.08615430044
230	0.08608942559
231	0.08604336546
232	0.0859872141
233	0.08590954489
234	0.08583665296
235	0.08577059388
236	0.08569930362
237	0.08560053733
238	0.08550216723
239	0.08543084654
240	0.08535756899
241	0.08529688568
242	0.08525205141
243	0.08519793426
244	0.08514876723
245	0.08508311071
246	0.08480688174
247	0.08459731036
248	0.08455996116
249	0.08450144982
250	0.08445418117
251	0.08441996287
252	0.08418565539
253	0.08407296087
254	0.08402054696
255	0.0839754935
256	0.08392097653
257	0.0838524801
258	0.08378988207
259	0.08373534841
260	0.0835481782
261	0.08351147933
262	0.08324790481
263	0.08311112906
264	0.08306075669
265	0.08299712899
266	0.08292438524
267	0.08255342382
268	0.08252037294
269	0.08242006797
270	0.082194917
271	0.08213683212
272	0.08209790844
273	0.08205080489
274	0.08201887438
275	0.08195413162
276	0.08188000423
277	0.08179611207
278	0.0817520822
279	0.08168947365
280	0.08145233718
281	0.08140575976
282	0.08124791698
283	0.0811754909
284	0.08112905279
285	0.08104168459
286	0.08089472235
287	0.08085382775
288	0.0808074987
289	0.08062554195
290	0.0805593555
291	0.08052244523
292	0.08048638807
293	0.0803959619
294	0.08029435453
295	0.08024155928
296	0.08018406585
297	0.08015261955
298	0.08007344925
299	0.08003341248
300	0.07995756088
301	0.07990880609
302	0.07980919055
303	0.07965155908
304	0.07961510608
305	0.07958684968
306	0.07954931476
307	0.07950451607
308	0.07945275864
309	0.07939273088
310	0.07937226518
311	0.07930548447
312	0.07928002398
313	0.07923761968
314	0.07918613766
315	0.07908349332
316	0.07902922278
317	0.07894587676
318	0.07890371371
319	0.07887584082
320	0.07882722625
321	0.07879452934
322	0.07874087134
323	0.07867485234
324	0.07864536215
325	0.07860851062
326	0.07857575967
327	0.07853489223
328	0.07850209436
329	0.0783687255
330	0.07832311352
331	0.07825212542
332	0.07818883784
333	0.07814260317
334	0.07809648015
335	0.07806201851
336	0.07800571461
337	0.07796702376
338	0.07793913912
339	0.07792136757
340	0.0778421979
341	0.07782295596
342	0.07777009754
343	0.07772895228
344	0.0776741317
345	0.07764031028
346	0.07758234395
347	0.07752870287
348	0.07745100415
349	0.07741531594
350	0.07733640402
351	0.07729579484
352	0.0772295407
353	0.07720758151
354	0.07718077283
355	0.07714721154
356	0.07709026638
357	0.07704679361
358	0.07701136199
359	0.07696069748
360	0.07691863271
361	0.07686232526
362	0.07672750448
363	0.07670623313
364	0.07667392065
365	0.0766482274
366	0.07650251276
367	0.0764454672
368	0.07637341381
369	0.07633625564
370	0.07631690385
371	0.0762718238
372	0.07619844786
373	0.0761690871
374	0.07611237818
375	0.07607643326
376	0.07605058787
377	0.0760010111
378	0.07597678271
379	0.07595347133
380	0.07590432228
381	0.07586515344
382	0.075815378
383	0.07578769306
384	0.0756578962
385	0.07560654246
386	0.07545162625
387	0.07540916061
388	0.07534084786
389	0.07529130826
390	0.07524652109
391	0.07519836986
392	0.07511585549
393	0.0750856289
394	0.07505245114
395	0.07497783044
396	0.07495066927
397	0.07488993448
398	0.07487921279
399	0.07486396305
400	0.07483165373
401	0.07479440002
402	0.07472801545
403	0.07467661922
404	0.07465509733
405	0.07459003959
406	0.07456311235
407	0.07453043766
