iter	Passed	Remaining
342	58427	111914
343	58558	111670
344	58695	111436
345	58834	111207
346	58976	110984
347	59135	110793
348	59292	110599
349	59429	110368
350	59574	110152
351	59724	109946
352	59868	109730
353	59994	109481
354	60129	109249
355	60260	109009
356	60411	108809
357	60564	108609
358	60701	108384
359	60872	108217
360	61010	107994
361	61151	107776
362	61306	107581
363	61428	107331
364	61570	107114
365	61695	106871
366	61864	106703
367	62014	106502
368	62204	106371
369	62379	106214
370	62536	106025
371	62681	105817
372	62847	105644
373	62982	105419
374	63130	105217
375	63262	104988
376	63403	104775
377	63559	104587
378	63695	104365
379	63819	104126
380	63955	103907
381	64087	103681
382	64226	103467
383	64368	103257
384	64521	103067
385	64663	102857
386	64827	102685
387	64961	102465
388	65102	102255
389	65234	102032
390	65373	101822
391	65506	101602
392	65644	101390
393	65784	101180
394	65917	100962
395	66059	100756
396	66194	100541
397	66343	100348
398	66459	100105
399	66582	99873
400	66726	99673
401	66854	99450
402	67019	99281
403	67161	99080
404	67292	98862
405	67425	98646
406	67541	98407
407	67698	98229
408	67864	98063
409	67993	97843
410	68124	97628
411	68263	97425
412	68428	97257
413	68567	97054
414	68698	96839
415	68844	96647
416	68986	96449
417	69125	96246
418	69256	96033
419	69399	95837
420	69557	95662
421	69694	95458
422	69833	95256
423	69980	95068
424	70106	94850
425	70243	94647
426	70379	94443
427	70551	94287
428	70697	94098
429	70846	93912
430	70991	93722
431	71136	93530
432	71276	93333
433	71428	93153
434	71553	92937
435	71699	92749
436	71836	92548
437	71963	92336
438	72101	92139
439	72254	91960
440	72407	91782
441	72557	91599
442	72689	91394
443	72823	91193
444	72958	90993
445	73098	90799
446	73229	90594
447	73363	90394
448	73508	90207
449	73654	90022
450	73774	89805
451	73917	89617
452	74060	89428
453	74187	89221
454	74327	89029
455	74469	88840
456	74599	88637
457	74724	88429
458	74853	88226
459	75012	88058
460	75217	87944
461	75348	87742
462	75489	87554
463	75640	87377
464	75775	87183
465	75912	86990
466	76074	86825
467	76216	86638
468	76371	86467
469	76543	86314
470	76685	86129
471	76815	85929
472	76949	85733
473	77087	85544
474	77242	85373
475	77378	85181
476	77534	85012
477	77667	84816
478	77804	84627
479	77948	84444
480	78093	84263
481	78231	84074
482	78363	83879
483	78508	83698
484	78644	83509
485	78787	83327
486	78928	83142
487	79083	82972
488	79207	82771
489	79353	82592
490	79489	82403
491	79621	82210
492	79763	82028
493	79898	81838
494	80023	81639
495	80177	81470
496	80330	81300
497	80465	81111
498	80621	80944
499	80764	80764
500	80930	80607
501	81085	80439
502	81232	80263
503	81417	80125
504	81571	79955
505	81708	79770
506	81849	79589
507	81975	79393
508	82114	79210
509	82266	79040
510	82402	78854
511	82545	78676
512	82736	78543
513	82868	78354
514	83013	78177
515	83148	77992
516	83278	77801
517	83402	77606
518	83547	77430
519	83694	77256
520	83812	77055
521	83961	76884
522	84094	76697
523	84231	76515
524	84364	76329
525	84507	76153
526	84649	75975
527	84783	75791
528	84916	75606
529	85045	75417
530	85176	75231
531	85319	75055
532	85465	74882
533	85603	74702
534	85768	74546
535	85942	74397
536	86094	74230
537	86230	74048
538	86382	73881
539	86554	73732
540	86704	73562
541	86848	73388
542	86996	73217
543	87132	73037
544	87254	72845
545	87391	72666
546	87535	72492
547	87676	72316
548	87827	72150
549	88010	72008
550	88132	71817
551	88265	71635
552	88405	71459
553	88581	71313
554	88729	71143
555	88874	70971
556	89022	70802
557	89151	70618
558	89293	70444
559	89427	70264
560	89564	70087
561	89717	69922
562	89851	69742
563	89999	69574
564	90134	69395
565	90278	69223
566	90412	69045
567	90568	68882
568	90706	68707
569	90852	68537
570	91011	68378
571	91143	68198
572	91262	68009
573	91390	67826
574	91518	67644
575	91660	67472
576	91793	67293
577	91930	67118
578	92063	66940
579	92194	66761
580	92334	66588
581	92474	66416
582	92611	66241
583	92756	66072
584	92906	65907
585	93033	65726
586	93170	65552
587	93320	65387
588	93446	65206
589	93590	65037
590	93730	64865
591	93878	64699
592	94033	64538
593	94167	64363
594	94314	64196
595	94441	64017
596	94584	63848
597	94727	63679
598	94871	63511
599	95006	63337
600	95138	63161
601	95272	62987
602	95404	62811
603	95565	62655
604	95692	62477
605	95821	62299
606	95959	62128
607	96142	61986
608	96275	61812
609	96420	61646
610	96571	61483
611	96733	61327
612	96905	61178
613	97059	61018
614	97227	60865
615	97367	60696
616	97516	60532
617	97669	60371
618	97815	60206
619	97990	60058
620	98159	59907
621	98297	59737
622	98436	59567
623	98579	59400
624	98726	59235
625	98860	59063
626	98990	58889
627	99124	58716
628	99268	58550
629	99418	58388
630	99562	58222
631	99724	58067
632	99855	57893
633	100005	57731
634	100156	57570
635	100291	57399
636	100412	57221
637	100560	57058
638	100704	56892
639	100841	56723
640	100982	56556
641	101121	56388
642	101256	56218
643	101410	56059
644	101549	55891
645	101688	55724
646	101823	55554
647	101964	55388
648	102090	55213
649	102234	55049
650	102372	54881
651	102508	54713
652	102668	54557
653	102842	54408
654	103012	54258
655	103178	54105
656	103348	53955
657	103499	53794
658	103644	53630
659	103806	53476
660	103975	53325
661	104121	53161
662	104267	52998
663	104415	52836
664	104570	52678
665	104696	52505
666	104861	52351
667	105013	52192
668	105162	52031
669	105310	51869
670	105487	51721
671	105701	51592
672	105968	51488
673	106211	51372
674	106410	51234
675	106593	51089
676	106804	50956
677	106980	50808
678	107164	50662
679	107337	50511
680	107506	50359
681	107697	50216
682	107878	50069
683	108080	49932
684	108270	49788
685	108461	49645
686	108678	49514
687	108861	49367
688	109072	49233
689	109290	49101
690	109488	48960
691	109679	48816
692	109872	48673
693	110083	48538
694	110234	48376
695	110443	48239
696	110658	48105
697	110829	47951
698	110984	47791
699	111144	47633
700	111299	47472
701	111453	47312
702	111605	47150
703	111751	46986
704	111909	46827
705	112071	46670
706	112224	46508
707	112361	46341
708	112543	46192
709	112737	46047
710	112930	45902
711	113103	45749
712	113284	45599
713	113506	45466
714	113736	45335
715	113982	45211
716	114260	45098
717	114754	45070
718	115107	44986
719	115430	44889
720	115669	44759
721	115898	44625
722	116158	44503
723	116441	44389
724	116774	44293
725	117138	44209
726	117464	44109
727	117714	43981
728	117938	43842
729	118204	43719
730	118406	43572
731	118635	43435
732	118824	43282
733	119059	43146
734	119271	43002
735	119525	42873
736	119744	42731
737	119967	42590
738	120166	42440
739	120415	42308
740	120616	42158
741	120841	42017
742	121055	41872
743	121251	41720
744	121513	41591
745	121746	41452
746	121941	41300
747	122217	41174
748	122463	41039
749	122710	40903
750	123000	40781
751	123262	40650
752	123520	40517
753	123774	40382
754	124067	40260
755	124330	40127
756	124649	40013
757	124950	39891
758	125223	39761
759	125609	39666
760	126060	39590
761	126460	39498
762	126774	39378
763	127071	39252
764	127265	39094
765	127511	38952
766	127730	38802
767	128015	38671
768	128281	38534
769	128493	38381
770	128822	38262
771	129127	38136
772	129462	38018
773	129805	37901
774	130004	37743
775	130208	37586
776	130407	37427
777	130575	37259
778	130800	37107
779	131047	36961
780	131250	36803
781	131442	36642
782	131700	36499
783	131915	36344
784	132112	36183
785	132313	36024
786	132503	35861
787	132707	35703
788	132953	35555
789	133175	35401
790	133397	35246
791	133622	35092
792	133854	34940
793	134117	34796
794	134408	34658
795	134696	34520
796	135062	34401
797	135315	34252
798	135565	34103
799	135772	33943
800	136034	33796
801	136204	33626
802	136387	33459
803	136590	33298
804	136797	33137
805	137022	32980
806	137273	32829
807	137511	32675
808	137761	32524
809	138052	32382
810	138281	32225
811	138511	32069
812	138767	31918
813	138999	31761
814	139185	31594
815	139426	31439
816	139683	31287
817	139913	31129
818	140124	30967
819	140326	30803
820	140556	30645
821	140848	30500
822	141208	30369
823	141531	30230
824	141734	30064
825	141998	29912
826	142247	29756
827	142497	29600
828	142688	29432
829	142916	29272
830	143128	29108
831	143382	28952
832	143565	28782
833	143801	28622
834	144020	28459
835	144217	28291
836	144419	28124
837	144619	27957
838	144878	27801
839	145129	27643
840	145346	27479
841	145529	27308
842	145726	27140
843	145928	26972
844	146140	26806
845	146393	26648
846	146712	26501
847	147002	26349
848	147254	26190
849	147578	26043
850	147814	25880
851	148082	25723
852	148333	25562
853	148700	25421
854	149071	25281
855	149345	25123
856	149728	24983
857	150026	24829
858	150374	24683
859	150634	24521
860	150890	24359
861	151112	24191
862	151311	24020
863	151511	23849
864	151779	23688
865	152088	23533
866	152447	23385
867	152831	23241
868	153133	23084
869	153427	22925
870	153705	22764
871	154000	22605
872	154288	22445
873	154597	22287
874	154969	22138
875	155276	21979
876	155619	21825
877	155952	21669
878	156330	21519
879	156712	21369
880	157053	21213
881	157351	21051
882	157698	20895
883	157996	20732
884	158254	20564
885	158523	20396
886	158834	20234
887	159096	20066
888	159299	19890
889	159480	19711
890	159734	19540
891	159931	19363
892	160152	19189
893	160349	19012
894	160575	18838
895	160752	18658
896	160931	18479
897	161152	18304
898	161397	18132
899	161613	17957
900	161810	17779
901	162046	17605
902	162309	17435
903	162639	17271
904	162892	17099
905	163197	16932
906	163405	16754
907	163707	16587
908	163944	16412
909	164194	16239
910	164401	16061
911	164631	15885
912	164831	15706
913	165060	15530
914	165275	15353
915	165510	15177
916	165743	15001
917	165994	14827
918	166239	14652
919	166497	14478
920	166742	14302
921	166971	14125
922	167187	13947
923	167468	13774
924	167706	13597
925	167978	13423
926	168232	13248
927	168550	13077
928	168803	12901
929	169100	12728
930	169385	12553
931	169694	12381
932	169996	12207
933	170284	12032
934	170564	11857
935	170931	11687
936	171225	11512
937	171494	11335
938	171748	11157
939	172055	10982
940	172347	10806
941	172669	10631
942	172937	10453
943	173133	10270
944	173403	10092
945	173620	9910
946	173929	9734
947	174174	9553
948	174427	9373
949	174712	9195
950	174951	9014
951	175247	8835
952	175548	8657
953	175806	8477
954	176039	8295
955	176322	8115
956	176549	7932
957	176793	7750
958	177075	7570
959	177437	7393
960	177743	7213
961	178001	7031
962	178239	6848
963	178485	6665
964	178720	6482
965	178920	6297
966	179127	6112
967	179321	5927
968	179532	5743
969	179782	5560
970	180021	5376
971	180278	5193
972	180539	5009
973	180847	4827
974	181061	4642
975	181274	4457
976	181526	4273
977	181752	4088
978	182004	3904
979	182351	3721
980	182623	3537
981	182861	3351
982	183080	3166
983	183270	2980
984	183567	2795
985	183778	2609
986	184048	2424
987	184355	2239
988	184636	2053
989	184863	1867
990	185102	1681
991	185350	1494
992	185670	1308
993	185978	1122
994	186314	936
995	186573	749
996	186866	562
997	187141	375
998	187443	187
999	187875	0
