Model,RMSE,MAE,MAPE,R2,Adj_R2,Train_Time
Linear Regression (Train),9.529931541092273,6.792442220242519,0.34105305543967496,0.2428771053451162,0.24268231017225472,7.022570371627808
Linear Regression (Test),9.455381349663474,6.760217479960829,0.3393879325801635,0.24030871491250805,0.23952628898733053,
Ridge Regression (Train),9.52993156363535,6.792464251200369,0.34105417728257326,0.24287710176316402,0.24268230658938095,0.5613207817077637
Ridge Regression (Test),9.455378537729413,6.760236746265095,0.339388916925445,0.24030916676133451,0.23952674130152796,
Lasso Regression (Train),9.590989558543894,6.843040470526531,0.3436278847387606,0.23314429355065558,0.23294699428662302,6.4974095821380615
Lasso Regression (Test),9.514114807303168,6.806179759573582,0.3417318015707144,0.23084153980123678,0.23004936338478643,
