Model,RMSE,MAE,MAPE,R2,Adj_R2,Train_Time
Linear Regression,9.455381349663474,6.760217479960829,0.3393879325801635,0.24030871491250805,0.23952628898733053,
Ridge Regression,9.455378537729413,6.760236746265095,0.339388916925445,0.24030916676133451,0.23952674130152796,
Lasso Regression,9.514114807303168,6.806179759573582,0.3417318015707144,0.23084153980123678,0.23004936338478643,
Random Forest,9.180408584245153,6.61009218433887,0.33186744705353477,0.28385153304535804,0.28311395300749176,
Gradient Boosting,8.89142251296994,6.245474360699034,0.31357112181199664,0.32822855104436843,0.32753667605807524,
XGBoost,8.777224232191402,6.167340278625488,0.3096232347112504,0.3453737497329712,0.34469953303526124,
Deep Learning,25.26729542831442,18.13677215576172,0.9080935460089936,-4.424960136413574,-4.430547444754614,
XGBoost Tuned,8.822658446465457,6.193064212799072,0.31092897874669784,0.338578999042511,0.33789778425333983,
